,count,hate_speech,offensive_language,neither,class,tweet
24,3,0,3,0,1, got ya bitch tip toeing on my hardwood floors   http://t.co/cOU2WQ5L4q
25,3,0,2,1,1, her pussy lips like Heaven doors
26,3,0,3,0,1, hoe what its hitting for
27,3,0,3,0,1, i met that pussy on Ocean Dr . i gave that pussy a pill
28,3,0,3,0,1, i need a trippy bitch who fuck on Hennessy
29,3,0,3,0,1, i spend my money how i want bitch its my business
30,3,0,3,0,1, i txt my old bitch my new bitch pussy wetter
31,3,0,3,0,1, id say im back to the old me but my old bitches would get excited
32,3,0,3,0,1, if you aint bout that Murder Game pussy nigga shut up
33,3,0,3,0,1, if youre toes aint done you pussy stinks
34,3,0,3,0,1, im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that
35,3,0,3,0,1, is that ya bitch
36,3,0,3,0,1, it aint nothing to cut a bitch off
37,3,0,3,0,1, jus meet son now he ya mane ass bitches  #Shots
38,3,0,2,1,1, lames crying over hoes thats tears of a clown
39,3,0,3,0,1, like Snoop said in 94 we dont love these hoes
40,3,0,1,2,2, momma said no pussy cats inside my doghouse
41,3,0,3,0,1, most hated but the hoes favorite  #2MW #SevenOne # http://t.co/BMdSVMc3rC
42,3,0,3,0,1, nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick http://t.co/bzRDl3kF7U
43,3,0,3,0,1, pimps up pimps up hoes down  Future voice
44,3,0,3,0,1, post a picture of that pussy get 200 likes
45,3,0,3,0,1, pussy is a powerful drug   #HappyHumpDay http://t.co/R8jsymiB5b
46,3,0,3,0,1, quick piece of pussy call it a drive by
47,3,0,3,0,1, running round here like some brand new pussy thats bout to get fucked
48,3,0,3,0,1, these bitches even worst theyll send them guys for you
49,3,1,2,0,1, these hoes like niggas that spend money not talk bout it
50,3,1,2,0,1, we dont trust these niggas all these bitches
51,3,0,3,0,1, yall niggas b cuffing hoes cause yall aint never have bitches
52,3,0,3,0,1, you dodge a bullet   @DaRealKha: All da bitches I cut off pregnant or bound to be ....thank God
53,3,0,3,0,1, young Pill Chamberlain these bitches love my music
54,3,0,2,1,1,@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........
55,3,0,3,0,1,@DaHomieFuzz: Gay niggas couldnt wait to act like bitches tonight
56,3,0,3,0,1,@The_Paradox: And ima steal his cat n replace it with a pitbull  RT @80sbaby4life: @The_Paradox He a bitch you should do it
57,3,0,3,0,1,hes gone always be a hoe
58,3,0,3,0,1,...Son of a bitch took my Tic Tacs.I like this movie.
59,3,0,3,0,1,..All I wanna do is get money and fuck model bitches! - Russell Simmons
60,3,0,2,1,1,@2015seniorprobs: I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers. Retweet
61,3,0,3,0,1,@A7XDemery: Im a fucking fag they said
62,3,0,3,0,1,@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz how does doing this stuff make him a pussy?
63,3,0,0,3,2,@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF woof woof hot scally lad
64,3,0,3,0,1,@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice Yes
65,3,0,3,0,1,@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?!  I SWEAR!!!!!
66,3,0,1,2,2,@AllAboutManFeet: http://t.co/3gzUpfuMev woof woof and hot soles
67,3,0,1,2,2,@Allyhaaaaa: Lemmie eat a Oreo do these dishes. One oreo? Lol
68,3,0,3,0,1,@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1 maybe youll get better. Just http://t.co/TPreVwfq0S
69,3,1,2,0,1,@Almightywayne__: Fuck Red Malone man bitch ass niggah could you please use complete sentences?
70,3,0,0,3,2,@ArizonasFinest6: Why the eggplant emoji doe?y he say she looked like scream lmao
71,3,0,3,0,1,@AutoWorId: Hennessey Venom GT  http://t.co/i8eGMnKaJ9 thats one sexy bitch
72,3,0,3,0,1,@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
73,3,0,3,0,1,@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit
74,3,1,2,0,1,@BVSEDCHINK: Yo fuck skateboarding, all yall some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7@AmJemieBenn
75,3,0,1,2,2,@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0RAwwwwe! This is soooo ADORABLE!
76,3,0,3,0,1,@BaylaaGottaBody:  I aint shit . Damn Skippy lol
77,3,1,2,0,1,@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b &gt;30%chance
78,3,0,3,0,1,@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u 0 rings 0 mvps 0 bitches lol
79,3,1,2,0,1,@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !
80,9,0,7,2,1,@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e hes a pussy with not tattooing them nipples
81,3,0,3,0,1,@Bill215_:  RT @nel_ayden Bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches..
82,3,0,3,0,1,@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou woof woof
83,3,1,2,0,1,@BlackChiquitita: Wow. RT @thatmanpalmer Im lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6 yeah shes a hoe
84,3,0,3,0,1,@BlackNerdJade: Ok, sis. Shed rather be a broke bitch? *shrugs* shell have to tell me how it works for her
85,3,2,1,0,0,@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer gaywad
87,3,0,3,0,1,@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k it wasnt even funny lol
88,3,0,3,0,1,@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx fr ..... LULWHORE
89,3,0,3,0,1,@CASHandBOOBIES: I been kidnapped yo bitch
90,3,3,0,0,0,@CB_Baby24: @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
91,3,1,2,0,1,@CCobey: @AydanMcCoy happy birthday nigs Thanks yo
92,6,1,5,0,1,@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1 this bitch need to go!!!
93,3,1,2,0,1,@CaelanG15: @22EdHam: @CaelanG15 that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul.. http://t.co/OSIpBKPr9h
94,3,0,3,0,1,@CanIFuckOrNah: What would yall lil ugly bald headed bitches do if they stop making make-up weave?
95,3,1,2,0,1,@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas you better start looting my nig
96,3,0,3,0,1,@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.
97,3,0,3,0,1,@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R me as a 9 year old
98,3,0,3,0,1,@CeleyNichole: @white_thunduh how come you never bring me food i dont have a car retard
99,3,0,3,0,1,@ChadMFVerbeck: If Richnow doesnt show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople
100,3,1,2,0,1,@ChandlerParsons: How bout them Cowboys!!!! Shutup pussy
101,3,0,3,0,1,@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI &lt;bitch want likes for some depressing shit..foh
102,3,0,3,0,1,@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you you was going lbvsbitch plz
103,3,0,3,0,1,@Coley_Cee: Let me make a couple tweets off cuzzo page, so I wont get in twitter jail.lmao bitch dont trick me again
104,3,0,2,1,1,@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.
105,3,0,3,0,1,@ComedyTruth: amen miley  http://t.co/P2Kb2tfyxrokay, but she dont need to act like a hoe just bc shes emotionally damaged foh
106,3,0,3,0,1,@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc
107,3,0,3,0,1,@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014  https://t.co/KeegDCjS5K
108,3,0,3,0,1,@DBAB_Holloway: Check out our 12th man. #CowboysNation even with all those faggot ny fans in the stands
109,3,0,3,0,1,@DGotBricks: What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
110,3,0,3,0,1,@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat  wow
111,3,3,0,0,0,@DevilGrimz: @VigxRArts youre fucking gay, blacklisted hoe Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn
112,3,0,3,0,1,@DiamondLoudKush: The fuck be wrong with these bitches? Nobody knows
113,3,0,3,0,1,@Dietrich1892: Yall shut up:p make me bitch
114,3,1,2,0,1,@DionaIrish: I hate a Im pregnant type of bitch.
115,3,0,3,0,1,@DoYou_Q: Got bitches in the DM but I dont ever readem which is y your top 3
116,3,0,0,3,2,@DomWorldPeace: Baseball season for the win. #Yankees This is where the love started
117,3,0,3,0,1,@Dommoneek: Little stupid as bitch I dont fuck with yoooooouuuu..
118,3,0,3,0,1,@DreadheadAri: she really asked me that dead ass serious tho, all i could say was bitch wheet LOL
119,3,0,0,3,2,@DunderbaIl: Im an early bird and Im a night owl, so Im wise and have worms.
120,3,0,1,2,2,@EdgarPixar: Overdosing on heavy drugs doesnt sound bad tonight. I do that pussy shit every day.
121,3,0,0,3,2,@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLhThey *are* fairy tale creatures.
122,3,0,3,0,1,@Ferocious_Ghost: @1stName_Bravo Aw. ...fag, dont tweet aw to me lol
123,3,0,0,3,2,@FloKid88: As long as the Lakers trash from now on, I could careless. And thats real.. CC: @BENBALLER hahaha
124,3,0,3,0,1,@Frosstyy_: @h0rheyd I didnt say anything tho kiss me then faggot
125,3,0,0,3,2,@FunnyPicsDepot: this the I play soccer, cheat on girls, and wear khaki coloured cargos haircut http://t.co/ZUai7qWBIR  yup
126,3,0,3,0,1,@G27Status: I could go for a fat ass bitch on my lap same
127,3,0,3,0,1,@GEDMelle: 17 missed calls!!!! Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle
128,6,0,6,0,1,@GTM_Al: Ya side bitch gotta know its rules to this shit..anybody ask you my cousin from jersey thinkin bout moving lmmfao
129,3,0,3,0,1,@GagaTom1: @MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i fuck yeah
130,3,0,3,0,1,@GirlThatsVonte: These hoes be thinking Meat wont slap they ass  ainna bruh
131,3,0,3,0,1,@GirlThatsVonte: Yall bitches wit no edges be doing the most talking
132,3,0,3,0,1,@GirlThatsVonte: Yall still going trick or treating this year or nah?hell yeah ima be da sweet tooth bandit steal bitches bags n shit
133,3,0,3,0,1,@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from damn you got hacked like fuck
134,6,0,6,0,1,@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!lmfao
135,3,0,3,0,1,@Goofstroop: You a woulda coulda shoulda ass hoe
136,3,0,3,0,1,@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisherpreciate that bitch roll up!
137,3,0,3,0,1,@HBMostDope: @1Jayee @PipinHoes used to send that bitch up
138,6,0,6,0,1,@HBMostDope: Ugly bitches be like Im my own WCW duh bitch you aint nobody elses
139,3,1,2,0,1,@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes. ...nah, I throw no look passes lmao
141,3,1,2,0,1,@HeartlessFuck: Glad Im getting outta Atlanta. Nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em.
142,3,0,1,2,2,@HermosaAlma: This isnt ghetto.....its smart https://t.co/MPAzQ3Jswf Im doing this idc
143,3,0,2,1,1,@HiImJoriB: I would wife a hoe only cuz we wouldnt care that we cheating in each other. ...why force the relationship in the first place?
144,3,0,3,0,1,@HornyFacts: Being single isnt an excuse to be a hoe. @TheOneMiss_Luu
145,3,1,2,0,1,@HoskinsTy96: White boy power bitch black power bitch
146,3,0,3,0,1,@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts fuck hoes! Bro white dudes have no chill.
147,3,0,3,0,1,@IScoutGirls: @verbally_abrupt bitch where u been Around the world and back. Where you been?
148,3,0,3,0,1,@ItsYahBoiRay: @anelylove if I dont get my dick sucked at yo party by a bad bitch Im fr gone set it off  *by @anelylove *
149,3,0,2,1,1,@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.
150,3,0,3,0,1,@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x lmao damn captain SaveAHoe
151,3,0,1,2,2,@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I hot sox and legs
152,3,0,3,0,1,@JamesyNBA: I wish I was a bitch like my brother keezy  ooooow I bet you do
153,6,0,6,0,1,@JasminePore: If you dressed up as a cat for Halloween you are basic. ...or a pussy
154,4,0,4,0,1,@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo @Pornhub get on it Katie&lt;3
155,3,0,3,0,1,@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. Shell like it.. Says the guy who hits women out of bed. FOH
156,3,0,3,0,1,@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro theyll never be loyal that y they hoes my nig
157,6,0,6,0,1,@KazAtta: @1TAKEHOV Oh man.. its 5 am, you off a molly, ho where the fuck ya seed at?? #fixed
158,3,0,3,0,1,@KelsieBelsi: Youre not a man if you refer to every girl as a bitch
159,3,0,3,0,1,@KeyshawnSwag: Lmfao this cat started beating the shit out of me my nigga finally got some pussy?!? MY NIGGA!!!
160,3,0,1,2,2,@KeyshawnSwag: Peel up peel up bring it back up rewind back where Im from they move Shaq from the line ooooow who tf said that trash!!?
161,3,0,2,1,1,@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays..... haha
162,3,0,3,0,1,@KingHendo95: @VonDreaam naw its my old tape. new cover . my upcoming mixtape is #KingOfTheHill Yeah Im waiting on that hoe Mayne!
163,3,0,3,0,1,@KingTeej_: Ol dirty foot ass bitches.. this was too funny to me.
164,3,0,3,0,1,@King_Shawn_6: @white_thunduh thats where I get my yellow flags for being amazing  HELL YEAH NIGGY
165,3,0,3,0,1,@KissMySmilee: Dont got time for bitches to be actin iffy.
166,3,0,0,3,2,@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!! This is still the early bird special. #ComeAtMeUT
167,3,0,2,1,1,@KyraNadiya_: These hoes aint loyal ; no they aint http://t.co/h1UBsVbkGlSmfh wonder why nobody decent wants them
168,3,0,3,0,1,@LCisTJ: Bruh, you studs keep thinking Im soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU. BYE HOE!
169,3,0,3,0,1,@LODYCASH: dry pussy bitches always blame it on the condom
170,3,0,3,0,1,@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5
171,3,0,3,0,1,@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes cant even text back
172,3,0,3,0,1,@Latrobemark: You love these hoes more then money wats wrong these niggas
173,6,0,6,0,1,@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo. ...sounding like me over there lol
174,3,0,3,0,1,@LiLFridayHOE: Easy cum, easy hoe Thats a fact !
175,3,0,3,0,1,@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7 major fucking respect for Charlie Sheen.
176,3,0,3,0,1,@Lightskingawdd: Wish I had a bae You got all the hoes tho
177,3,0,3,0,1,@Lil_Mike_12: Fuck twerking bitch can you cook ?
178,3,0,3,0,1,@Linniekravitz: @WesGodLaFlare bitch wtf http://t.co/DaSmycxODB
179,3,1,2,0,1,@Lipe_the_Great: @h0rheyd: @Lipe_the_Great: Shut up zoe fight me pussy for zoe? Im good, man. You are good maam. Move along now
180,3,0,3,0,1,@LolaaIsDope: Lmao fucking snake bitches @ em
181,3,0,3,0,1,@Loveable_Aizah: Big booty hoes everywhere sheesh  damn
182,3,0,0,3,2,@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks @dliming35 #bum
183,3,0,0,3,2,@M_Rad: @DezDLT: I play soccer, cheat on girls, and wear khaki coloured cargos haircut http://t.co/tYCIhD6PkW yes lmfao@soccerboy_04
184,3,0,3,0,1,@MadFlyentist: Oregon chokes every year get off the field trash ass program RFT
185,3,0,3,0,1,@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle Cowboy ever ..dude cried like a bitch on tv, over Romo
186,3,3,0,0,0,@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR This is why theres black people and niggers
187,3,0,3,0,1,@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch potent
188,3,0,1,2,2,@MaxMayo77: http://t.co/3Jk4kR44X3 a pissed lad past out. I would lick his dirty soles while he slept.
189,3,0,1,2,2,@MaxMayo77: http://t.co/PrrskknqRv love frat boy w/ soft long soles
190,3,0,1,2,2,@MaxMayo77: http://t.co/XpSC3makgJ sexy lad with hot soles and arches.
191,3,0,3,0,1,@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes depends on the female i feel
192,3,0,0,3,2,@Mesha_nojas: @_Vontethekidd  I got hicks lol
193,3,1,2,0,1,@Migsmichelen: This new twitter is confusing the shit out of me. Go back to south america bitch
194,3,0,3,0,1,@Miikito_x3: Toto means ass or vagina?I think pussy cause toto santi is like nasty pussy
195,3,0,3,0,1,@MikelaHenry: but what if he actually does choose the ugly bitch over you? Her ass must be fat!
196,3,0,3,0,1,@MileyCyrus: bitch couldnt kill my vibe if ya tried.  dis why i love miley :*
197,3,0,3,0,1,@Montrell_: Im tired of bitches saying I look mean..  nigga you big af, wear tight shirts, and grim everybody.
198,6,0,0,6,2,@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm #Climate
199,3,0,3,0,1,@MvckFadden: Stay beautiful you bitch
200,3,0,3,0,1,@NICKIMINAJ: #WutKindar purple. Ceeeleeeman this gurl was jus playin on the stupid hoe  track. But in still shitted on sum gurls
201,3,0,3,0,1,@NastyCopper: Money getting taller and bitches getting blurry
202,3,1,2,0,1,@NewsomeJade: I aint never seen a bitch so obsessed with they nigga Im obsessed with mine
203,3,0,2,1,1,@Nicholas_ted33: Kobe stay talking trash. But lets not forget http://t.co/VH4tnEkvTP @J_Austin12 I meant to do this one. Smh.
204,3,2,1,0,0,@NoChillPaz: At least Im not a nigger http://t.co/RGJa7CfoiTLmfao
205,3,0,3,0,1,@No_FAKINGG: People always asking me what Im mixed with. She a bad asian bitch lol
206,3,2,1,0,0,@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward but at least he isnt a cripple like your hero Roach lmaoo
207,3,0,1,2,2,@OSAY_it_aint_so: @IgnoreAllLaws: Fosters home for imaginary trash WHOA CHILLthat show was everything tf
208,6,0,5,1,1,@OfficialReplay: I am lowkey tired. ...if you tired, be quiet and go to sleep hoe!
209,3,0,3,0,1,@PRAYINGFORHEAD: @macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD http://t.co/cussDJesRK
210,3,0,3,0,1,@PRETTyBOSs_BRAt: We dont love these hoes
211,3,0,3,0,1,@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!
212,3,0,3,0,1,@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was  dont be a pussy and speed up lol
213,3,0,3,0,1,@PoemsPorn: Quote this tweet with your favorite animal.pussy
214,3,0,3,0,1,@Poetic_Success: I hate when strippers tell you theyre dancers. Hoe, ballet dancers dont pop their pussy to Beethoven. You a STRIPPER!
215,3,0,3,0,1,@Poffalicious: Andrewbryant: Poff has double vision after 2 beersPoff: ... Double pussy  smh
216,3,0,3,0,1,@Poobie_: When bitches TWERK on the computer....ME: In ya , in ya damn
217,3,0,3,0,1,@ProdsJewel_: @sreadthepeace: @yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr nobody takin his bitch!
218,3,0,1,2,2,@QUAN1T0: 61% of welfare/government aid is claimed by white people. So yall black slander is trash now.
219,3,0,3,0,1,@QUAN1T0: These bitches dont care they just play that role.
220,6,0,6,0,1,@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.@Iemonaids dis bitch in da wrong tree bro.
221,6,3,2,1,0,@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, theres glitter on the shoes http://t.co/QCtPLxHEXM ....dudes a fag
222,3,0,1,2,2,@RachieSoul: @DizzleOfficial inna di ghetto!!! You alone lmaoo
223,3,0,1,2,2,@RamBoutIt: @Master11_: @20ToLife_ @RamBoutIt hoes Austin teach us Austin.I teach u how to get curved? Thats all I know
224,3,1,2,0,1,@ReachtheeCLIMAX: bitches cant cook but know how to suck dick .. s/o to the ones that can do both!
225,3,0,3,0,1,@RenegadeMo: Fat hoes get chose lol
226,3,0,3,0,1,@RiahSM: #hoesaintloyal well theyre hoes,no one expects them to be loyal
227,3,0,3,0,1,@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass http://t.co/AmcOinY0wG
228,3,1,2,0,1,@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad lmaooo
229,3,0,3,0,1,@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls lol bitch fuck you
230,3,0,3,0,1,@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate FactoryMe: *rolls on the floor, laughing*
231,3,1,2,0,1,@Samirahusic_: I dont want to have sex with my gf because I feel like Im using her.. - anonymous Whata faggot
232,3,0,3,0,1,@SexualGxfs: @ One of your followers with this  http://t.co/F1TJl9xnCT @ somebody, bitch if you dont
233,3,0,3,0,1,@Shaa_Jenkins: If ya bitch always bitching clearly she care! Or just an annoying Bitch!
234,3,0,3,0,1,@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on
235,3,0,3,0,1,@SheWentToJordan: Cant worry about a bitch that aint worried bout me #real
236,3,0,3,0,1,@ShowArrive: Side hoes are for insecure niggas that cant handle a real one.
237,3,0,3,0,1,@Shun_stokes: RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!
238,3,0,3,0,1,@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers
239,3,0,3,0,1,@SlimGirl_Probz: im hungry but ionn wanna spend my money on foodBroke hoe problems
240,6,0,6,0,1,@SmeegBaby: Dese hoes be LYIN to all of us nigga
241,3,0,3,0,1,@SnakecharmsDump: http://t.co/4b427dQZCV oh yeah fuck that bitch
242,3,0,1,2,2,@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season. Lmao trash
243,3,0,1,2,2,@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR hes a bitch
244,3,0,3,0,1,@StellaTex: Guess what? I also have zero time for your mansplaining! Adios! Stfu pussy
245,3,0,1,2,2,@Stephenwildboy: Chilling  http://t.co/mik3iPNle6 sexy scally lad
246,3,0,3,0,1,@Strap__: I aint sharing no bitch if you mines you mines
247,3,0,3,0,1,@SukMySweetness: money only impress the simple broke bitches
248,3,0,2,1,1,@Sylvieamx: #Pisces will never be anybodys bitch, they dont let people control or change them. Rigghhht
250,3,0,1,2,2,@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah
251,3,0,1,2,2,@TEE_JONEZ: @KingCuh @16stanleys Im not mad cuh hahaha suure.. tuku ho ita!
252,3,0,3,0,1,@TayKnosBest: These hoes is crazy
253,3,0,3,0,1,@Taylorr_Babee: You aint ever gonna be a slice bitch. Kevin hart. (:
254,3,0,3,0,1,@ThatniggaTroy: Oomf so fuckin fine tho  dam @ her, dont be no bitch.
255,3,1,2,0,1,@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags
256,3,0,3,0,1,@TheNewSAT: #NewSATQuestionsYeah bitch, yeah bitch, call me _______:a.) Maybeb.) Steve-Oc.) Laterd.) Jesse Pinkman@machinegunkelly
257,3,0,3,0,1,@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt; Its only right
258,3,0,3,0,1,@TheOneMiss_Luu: Would you still love me when Im no longer young and beautiful? No. Ugly monkey ass.
259,3,1,2,0,1,@TheRealRickyB21: @JetsAndASwisher @Gook____ yall come through the front.bitch I aint coming
260,3,1,2,0,1,@TheRealRickyB21: @JetsAndASwisher faggot bitch http://t.co/2HyyAbk4eH
261,3,0,3,0,1,@The_Realist_Sam: @Madrid2_ yea, Im on my iPad. I dont work this Friday. Lets ball this faggot up @TropicalBlanketi work 2-5
262,3,0,1,2,2,@Theo17100: http://t.co/BYj1HOyhmG this scally lad would get it
263,3,2,1,0,0,@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc Halloween was yesterday stupid nigger
264,3,0,2,1,1,@TheoMaxximus: Chrus still supahot tho *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI
265,3,0,3,0,1,@Thornton25: @KantKeepAhBYTCH: I love eating pussy lol I never get full lol I can eat that shit forever lol and ever.
266,3,0,3,0,1,@Tmacc_GFG: @VoiceOfDStreetz: @Tmacc_GFG: @tizzimarie: No slushes hoes nasty anyway famthem hoes taste like meds
267,3,0,2,1,1,@Tmacc_GFG: @tizzimarie: No slushes hoes nasty anyway fam
268,3,1,2,0,1,@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck hell yea i play that hoe before my workout
