text,isHate
@FloKid88: As long as the Lakers trash from now on,0
@Frosstyy_: @h0rheyd I didnt say anything tho kiss me then faggot,0
@FunnyPicsDepot: this the I play soccer,0
@G27Status: I could go for a fat ass bitch on my lap same,0
@GEDMelle: 17 missed calls!!!! Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle,0
@GTM_Al: Ya side bitch gotta know its rules to this shit..anybody ask you my cousin from jersey thinkin bout moving lmmfao,0
@GagaTom1: @MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i fuck yeah,0
@GirlThatsVonte: These hoes be thinking Meat wont slap they ass  ainna bruh,0
@GirlThatsVonte: Yall bitches wit no edges be doing the most talking,0
@GirlThatsVonte: Yall still going trick or treating this year or nah?hell yeah ima be da sweet tooth bandit steal bitches bags n shit,0
@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from damn you got hacked like fuck,0
@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!lmfao,0
@Goofstroop: You a woulda coulda shoulda ass hoe,0
@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisherpreciate that bitch roll up!,0
@HBMostDope: @1Jayee @PipinHoes used to send that bitch up,0
@HBMostDope: Ugly bitches be like Im my own WCW duh bitch you aint nobody elses,0
@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes. ...nah,1
@HeartlessFuck: Glad Im getting outta Atlanta. Nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em.,1
@HermosaAlma: This isnt ghetto.....its smart https://t.co/MPAzQ3Jswf Im doing this idc,0
@HiImJoriB: I would wife a hoe only cuz we wouldnt care that we cheating in each other. ...why force the relationship in the first place?,0
@HornyFacts: Being single isnt an excuse to be a hoe. @TheOneMiss_Luu,0
@HoskinsTy96: White boy power bitch black power bitch,1
@Hudgens_11: Lets get drunk,0
@IScoutGirls: @verbally_abrupt bitch where u been Around the world and back. Where you been?,0
@ItsYahBoiRay: @anelylove if I dont get my dick sucked at yo party by a bad bitch Im fr gone set it off  *by @anelylove *,0
@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.,0
@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x lmao damn captain SaveAHoe,0
@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I hot sox and legs,0
@JamesyNBA: I wish I was a bitch like my brother keezy  ooooow I bet you do,0
@JasminePore: If you dressed up as a cat for Halloween you are basic. ...or a pussy,0
@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo @Pornhub get on it Katie&lt;3,0
@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. Shell like it.. Says the guy who hits women out of bed. FOH,0
@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro theyll never be loyal that y they hoes my nig,0
@KazAtta: @1TAKEHOV Oh man.. its 5 am,0
@KelsieBelsi: Youre not a man if you refer to every girl as a bitch,0
@KeyshawnSwag: Lmfao this cat started beating the shit out of me my nigga finally got some pussy?!? MY NIGGA!!!,0
@KeyshawnSwag: Peel up peel up bring it back up rewind back where Im from they move Shaq from the line ooooow who tf said that trash!!?,0
@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays..... haha,0
@KingHendo95: @VonDreaam naw its my old tape. new cover . my upcoming mixtape is #KingOfTheHill Yeah Im waiting on that hoe Mayne!,0
@KingTeej_: Ol dirty foot ass bitches.. this was too funny to me.,0
@King_Shawn_6: @white_thunduh thats where I get my yellow flags for being amazing  HELL YEAH NIGGY,0
@KissMySmilee: Dont got time for bitches to be actin iffy.,0
@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!! This is still the early bird special. #ComeAtMeUT,0
@KyraNadiya_: These hoes aint loyal ; no they aint http://t.co/h1UBsVbkGlSmfh wonder why nobody decent wants them,0
@LCisTJ: Bruh,0
@LODYCASH: dry pussy bitches always blame it on the condom,0
@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5,0
@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes cant even text back,0
@Latrobemark: You love these hoes more then money wats wrong these niggas,0
@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo. ...sounding like me over there lol,0
@LiLFridayHOE: Easy cum,0
@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7 major fucking respect for Charlie Sheen.,0
@Lightskingawdd: Wish I had a bae You got all the hoes tho,0
@Lil_Mike_12: Fuck twerking bitch can you cook ?,0
@Linniekravitz: @WesGodLaFlare bitch wtf http://t.co/DaSmycxODB,0
@Lipe_the_Great: @h0rheyd: @Lipe_the_Great: Shut up zoe fight me pussy for zoe? Im good,1
@LolaaIsDope: Lmao fucking snake bitches @ em,0
@Loveable_Aizah: Big booty hoes everywhere sheesh  damn,0
@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks @dliming35 #bum,0
@M_Rad: @DezDLT: I play soccer,0
@MadFlyentist: Oregon chokes every year get off the field trash ass program RFT,0
@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle Cowboy ever ..dude cried like a bitch on tv,0
@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR This is why theres black people and niggers,3
@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch potent,0
@MaxMayo77: http://t.co/3Jk4kR44X3 a pissed lad past out. I would lick his dirty soles while he slept.,0
@MaxMayo77: http://t.co/PrrskknqRv love frat boy w/ soft long soles,0
@MaxMayo77: http://t.co/XpSC3makgJ sexy lad with hot soles and arches.,0
@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes depends on the female i feel,0
@Mesha_nojas: @_Vontethekidd  I got hicks lol,0
@Migsmichelen: This new twitter is confusing the shit out of me. Go back to south america bitch,1
@Miikito_x3: Toto means ass or vagina?I think pussy cause toto santi is like nasty pussy,0
@MikelaHenry: but what if he actually does choose the ugly bitch over you? Her ass must be fat!,0
@MileyCyrus: bitch couldnt kill my vibe if ya tried.  dis why i love miley :*,0
@Montrell_: Im tired of bitches saying I look mean..  nigga you big af,0
@MotherJones: 10 birds your grandkids may never see,0
@MvckFadden: Stay beautiful you bitch,0
@NICKIMINAJ: #WutKindar purple. Ceeeleeeman this gurl was jus playin on the stupid hoe  track. But in still shitted on sum gurls,0
@NastyCopper: Money getting taller and bitches getting blurry,0
@NewsomeJade: I aint never seen a bitch so obsessed with they nigga Im obsessed with mine,1
@Nicholas_ted33: Kobe stay talking trash. But lets not forget http://t.co/VH4tnEkvTP @J_Austin12 I meant to do this one. Smh.,0
@NoChillPaz: At least Im not a nigger http://t.co/RGJa7CfoiTLmfao,2
@No_FAKINGG: People always asking me what Im mixed with. She a bad asian bitch lol,0
@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward but at least he isnt a cripple like your hero Roach lmaoo,2
@OSAY_it_aint_so: @IgnoreAllLaws: Fosters home for imaginary trash WHOA CHILLthat show was everything tf,0
@OfficialReplay: I am lowkey tired. ...if you tired,0
@PRAYINGFORHEAD: @macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD http://t.co/cussDJesRK,0
@PRETTyBOSs_BRAt: We dont love these hoes,0
@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!,0
@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was  dont be a pussy and speed up lol,0
@PoemsPorn: Quote this tweet with your favorite animal.pussy,0
@Poetic_Success: I hate when strippers tell you theyre dancers. Hoe,0
@Poffalicious: Andrewbryant: Poff has double vision after 2 beersPoff: ... Double pussy  smh,0
@Poobie_: When bitches TWERK on the computer....ME: In ya,0
@ProdsJewel_: @sreadthepeace: @yungmindless: @PeacePunkPrince Prince,0
@QUAN1T0: 61% of welfare/government aid is claimed by white people. So yall black slander is trash now.,0
@QUAN1T0: These bitches dont care they just play that role.,0
@Queen_Kaaat: It took a while for you to find me,0
@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes,3
@RachieSoul: @DizzleOfficial inna di ghetto!!! You alone lmaoo,0
@RamBoutIt: @Master11_: @20ToLife_ @RamBoutIt hoes Austin teach us Austin.I teach u how to get curved? Thats all I know,0
@ReachtheeCLIMAX: bitches cant cook but know how to suck dick .. s/o to the ones that can do both!,1
@RenegadeMo: Fat hoes get chose lol,0
@RiahSM: #hoesaintloyal well theyre hoes,0
@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass http://t.co/AmcOinY0wG,0
@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad lmaooo,1
@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls lol bitch fuck you,0
@SamJLayman : Holy shit,0
@Samirahusic_: I dont want to have sex with my gf because I feel like Im using her.. - anonymous Whata faggot,1
@SexualGxfs: @ One of your followers with this  http://t.co/F1TJl9xnCT @ somebody,0
@Shaa_Jenkins: If ya bitch always bitching clearly she care! Or just an annoying Bitch!,0
@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on,0
@SheWentToJordan: Cant worry about a bitch that aint worried bout me #real,0
@ShowArrive: Side hoes are for insecure niggas that cant handle a real one.,0
@Shun_stokes: RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!,0
@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers,0
@SlimGirl_Probz: im hungry but ionn wanna spend my money on foodBroke hoe problems,0
@SmeegBaby: Dese hoes be LYIN to all of us nigga,0
@SnakecharmsDump: http://t.co/4b427dQZCV oh yeah fuck that bitch,0
@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season. Lmao trash,0
@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR hes a bitch,0
@StellaTex: Guess what? I also have zero time for your mansplaining! Adios! Stfu pussy,0
@Stephenwildboy: Chilling  http://t.co/mik3iPNle6 sexy scally lad,0
@Strap__: I aint sharing no bitch if you mines you mines,0
@SukMySweetness: money only impress the simple broke bitches,0
@Sylvieamx: #Pisces will never be anybodys bitch,0
@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah,0
@TEE_JONEZ: @KingCuh @16stanleys Im not mad cuh hahaha suure.. tuku ho ita!,0
@TayKnosBest: These hoes is crazy,0
@Taylorr_Babee: You aint ever gonna be a slice bitch. Kevin hart. (:,0
@ThatniggaTroy: Oomf so fuckin fine tho  dam @ her,0
@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags,1
@TheNewSAT: #NewSATQuestionsYeah bitch,0
@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt; Its only right,0
@TheOneMiss_Luu: Would you still love me when Im no longer young and beautiful? No. Ugly monkey ass.,0
@TheRealRickyB21: @JetsAndASwisher @Gook____ yall come through the front.bitch I aint coming,1
@TheRealRickyB21: @JetsAndASwisher faggot bitch http://t.co/2HyyAbk4eH,1
@The_Realist_Sam: @Madrid2_ yea,0
@Theo17100: http://t.co/BYj1HOyhmG this scally lad would get it,0
@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc Halloween was yesterday stupid nigger,2
@TheoMaxximus: Chrus still supahot tho *walks up to teacher with test,0
@Thornton25: @KantKeepAhBYTCH: I love eating pussy lol I never get full lol I can eat that shit forever lol and ever.,0
@Tmacc_GFG: @VoiceOfDStreetz: @Tmacc_GFG: @tizzimarie: No slushes hoes nasty anyway famthem hoes taste like meds,0
@Tmacc_GFG: @tizzimarie: No slushes hoes nasty anyway fam,0
@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck hell yea i play that hoe before my workout,1
@TreLeKidd: Yo bitch is Gucci Mane RT @JabariTheGreat : My bitch a stoner  http://t.co/lt9LIJjpg9,0
@TweetGameLazy: I can ride your bitch with no handle bars,0
@TyJonCuffee: And if you aint a hoe get up out my traphoussseeeee,0
@UberFacts: 15 sad TV character deaths were still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0ned stark was the man,0
@UnHoly_Jack: These harbor bitches are all Party Bus hoes Lol all?,0
@Vbomb20: @Woodchuck20 pussy love it,0
@VeronikaHumbert: Ultraviolence video,0
@VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iyLMFAO KITTYCOPTER,0
@WBUR: A smuggler explains how he helped fighters along the Jihadi Highway: http://t.co/UX4anxeAwd,0
@WBeezy_: @QuaTheGreat: Aww their avis look so cute together  http://t.co/9lPorCb8w0  do I gotta get Ike avi on this bitch ?,0
@WBeezy_: @Run_DRC: Its simple,0
@WannabeKanye: whys this bitch boosting herself http://t.co/uOd2f5WtKVHer size isnt exactly the most healthy tho,0
@WitHaPrettyface: @_1nonlykeisha bet not be no bitches!   Kim bye!!!,0
@X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying you got that dope dick. Drive these bitches loco,0
@XoJennyGirl: Im making marack my girlfriend . @marackaf aye b you pullin hoes just like o taught you,0
@XoXo__Angiee: Bruno fag boy you love me.,1
@YEHits_Von: @Run_DRC: I must be a bitch you are  sike naw This why we always beefing,0
@Yankees: Down 6-1,0
@YoungRicooo: @WexicanAfro702: Dont take advantage of a nice person@ hoes@ everyjuan,0
@YoungRicooo: Happy birthday bitch nigga @WexicanAfro702 Thanks pal,1
@YoungRicooo: Sad knowing that most hoes wont fuck with you bc you aint got stacks. wait till friday,0
@YunGMiGo: @Shane_A1 cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,0
@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs,0
@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back Strong Mush or Shake..,1
@_BeeDontCare My pussy still fresh &lt;----- something stank girls say.,0
@_GeeWillikers_: Ass slapping is one the greatest things. Haha.  I slapped a girl on the ass. . She got mad I aint get pussy for a week,0
@_TommyCollins: @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard I see that youre mad about this.,0
@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE! ..looking like black&amp;milds out here,1
@__Sugga: Theres a lane some bitches need to stay in  the left n get right the fuck outta our face,0
@__sneakyb: I hate when boys deny that they have bitches  smh,0
@__taradise__: Ya nigs out there still saying yall dont eat butt?! WITH A STRAIGHT FACE!,1
@__youreWelcome: Im a boss ass bitch ...that needs to sit in a corner,0
@_iwantfranny: Hes a hoe,0
@_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend oooh shit bitches betta stay out da streets,0
@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military its a different story.,0
@_simplycaitlin: why do my friends hate me because you a ratchet hoe..,1
@adriwadrri: No love for these fuck niggas hoes*,1
@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK sexy as fuck scally lad. I would love to meet him and his trainers.,0
@airmaxlad1: Sniff http://t.co/FHHbBRMYBN perved up scally lad. fuck yeah.,0
@alejandra_p13: These bitches love Sosa,0
@alexissixela__: @white_thunduh: I legit watched it for about 30 or 40 seconds SO DID I WTF prob cause were retarded smh,0
@allisonnamaya_: What should I name my cat,0
@altosteel115: http://t.co/tM28mh5XG2 woof woof. Sexy thug boy scally.,0
@ambitiousBree: @_1nonlykeisha u see the damn phone ringing?  when you married bitches makes demands!!!! You havent called me,0
@analicialouise: Tevin is my favorite sophomore I think hes so funny Hes really not. Lmaoo hes a little hoe,0
@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0naw this what u call fucking the soul outta bitch,0
@ashlingwilde: @ItsNotAdam is bored supposed to be cute,2
@ayyee_ceee_: One mans trash  is another mans treasure,0
@babineaux_: I dont got no type. Bad bitches is the only thing I like *Iongotnotype,0
@bigbootybishopp: @white_thunduh lassen cc,2
@bleedingtrap: god teeth,0
@cheetahBluntz_: Its me hoe,1
@chieflottahoes: In D.C.,0
@clayton_jenn99: Im gonna miss that bitch of a bus driver...no you wont. Dont lie,0
@coltforty2Gone: hate when bitches try and put you in the friendzone. bitch Im tryin to score put me in the endzone  ON. MY. SOUL!,0
@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM hahaha,0
@datFullerkid: @TreVaughnLG yall both gimped up?? Aint tht a bitch huh lol,0
@deepthroatMike: @Boys_South: Take me for a ride  http://t.co/H5mAtjYfGA#redneck woof woof,0
@demi_eggleton: oh my god I love Victoria Mitchell all my bitches love me,1
@djsliime: That long distance shit wack I knew the bitch was cheating- uh oh,0
@fIirting: HES DOING IT RIGHT  http://t.co/JZKkiVUVjC no bitches smh,0
@fatboyswagg347: they BAN dat pussy for life he gotta pay 2.5 millon dollar fine,0
@fuckcamoclark: Roses are red and violets are blue and niggers are black,1
@g0rillaz0e: Sitting on my window sill,0
@glowstruck: But a nigga gon be a nigga,0
@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm i am such a crybaby,0
@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty Im not even shy stfu kikis mom: Hi angelique Angelique: Smiles *Dips cracker in soup*,0
@haitian__goLd: Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh.,0
@hazelebaby: Karma is a bitch #Damn #GodProtectsHisAngels *sips tea*,0
@hornyjhb: Fuckin hot gym pussy http://t.co/ZVYmcXQuTA fuck yeah,0
@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl,0
@iAMPickUpLines: You can call me Fireman cause I turn the hoes on.,0
@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch- oh My God,0
@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before I hate when bitches do that,0
@iLGDaily: And smoke weed in public,0
@iTrapWatermelon: tweety bird tho https://t.co/JbnoNM3N1P,0
@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoGThotermelon,0
@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg,0
@jSadass: loud bitches annoy me,0
@jacaxeltlu: Eventually every bitch turns into that hoe. # Truuu,0
@jaimescudi_: @Tonybthrz_: @jaimescudi_: I swear if oomf try talking to me tomorrow.. @ @BarackObama pussy,0
@jama_jam: You bitches be pretending to be TF crazy.. You aint never lied...,0
@jasmyncyniquee: @white_thunduh k bye hoe um bye ..,0
@jayswaggkillah: Jackies a retard #blondeproblems At least I can make a grilled cheese!,2
@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !,1
@jethromass: Photo: http://t.co/CxRs5BVhPw he is in sole heaven,0
@jgabsss: Stacey Dash won  http://t.co/PDLG46rjOL baddest bitch evaaaa,2
@juicyyyjayyyy: Side bitch Sunday,0
@k_eazy26: Facts what baldheaded bitch made this shit.  http://t.co/fDYojpT9Xg,0
@kayreneeee_: Fuck wit us and then we tweakin hoe shmurda!,0
